交易日期	证券代码	证券简称	前收	今收	升跌(%)	成交金额(元)	市盈率
2017-12-29	000001	平安银行	13.21	13.30	0.68	1,303,222,040.36	10.10
2017-12-29	000002	万  科Ａ	30.70	31.06	1.17	1,204,645,832.31	16.31
2017-12-29	000004	国农科技	22.21	22.38	0.77	11,584,728.65	47.82
2017-12-29	000005	世纪星源	4.12	4.14	0.49	10,078,211.57	40.35
2017-12-29	000006	深振业Ａ	9.85	9.85	0.00	0.00	17.08
2017-12-29	000007	全新好	16.66	16.66	0.00	0.00	73.98
2017-12-29	000008	神州高铁	8.66	8.75	1.04	131,842,396.00	47.09
2017-12-29	000009	中国宝安	7.18	7.23	0.70	89,119,705.12	66.57
2017-12-29	000010	美丽生态	5.38	5.42	0.74	47,196,408.37	111.52
2017-12-29	000011	深物业A	16.52	16.79	1.63	41,557,524.36	28.20
2017-12-29	000012	南  玻Ａ	8.19	8.45	3.17	324,819,186.39	25.28
2017-12-29	000014	沙河股份	10.70	10.78	0.75	24,122,938.40	76.02
2017-12-29	000016	深康佳Ａ	5.71	6.06	6.13	146,256,141.65	152.64
2017-12-29	000017	深中华A	6.21	6.20	-0.16	7,114,381.19	1,319.15
2017-12-29	000018	神州长城	6.03	6.12	1.49	65,020,922.89	21.94
2017-12-29	000019	深深宝Ａ	12.15	12.15	0.00	0.00	62.47
2017-12-29	000020	深华发Ａ	13.99	14.15	1.14	14,129,627.00	733.16
2017-12-29	000021	深科技	9.51	9.73	2.31	207,418,788.31	66.78
2017-12-29	000022	深赤湾Ａ	24.14	24.14	0.00	0.00	29.24
2017-12-29	000023	深天地Ａ	20.46	20.53	0.34	32,728,862.79	286.33
2017-12-29	000025	特  力Ａ	38.45	38.51	0.16	37,518,361.40	420.87
2017-12-29	000026	飞亚达Ａ	10.99	11.42	3.91	48,747,560.02	45.28
2017-12-29	000027	深圳能源	6.03	6.06	0.50	23,654,993.02	17.83
2017-12-29	000028	国药一致	59.99	60.25	0.43	89,527,226.84	21.74
2017-12-29	000029	深深房Ａ	11.17	11.17	0.00	0.00	36.27
2017-12-29	000030	富奥股份	8.07	8.11	0.50	33,458,020.95	15.50
2017-12-29	000031	中粮地产	8.00	8.00	0.00	0.00	20.15
2017-12-29	000032	深桑达Ａ	10.06	10.06	0.00	0.00	69.96
2017-12-29	000034	神州数码	21.60	21.60	0.00	0.00	34.99
2017-12-29	000035	中国天楹	6.72	6.72	0.00	0.00	42.88
2017-12-29	000036	华联控股	9.03	9.04	0.11	120,071,646.04	7.65
2017-12-29	000037	深南电A	6.67	7.14	7.05	24,664,030.94	3.29
2017-12-29	000038	深大通	20.87	20.77	-0.48	46,561,534.20	46.55
2017-12-29	000039	中集集团	21.91	22.85	4.29	776,797,797.02	126.17
2017-12-29	000040	东旭蓝天	14.17	14.05	-0.85	36,032,344.94	107.09
2017-12-29	000042	中洲控股	16.23	16.23	0.00	5,562,055.40	41.41
2017-12-29	000043	中航地产	9.66	9.71	0.52	15,089,488.97	40.12
2017-12-29	000045	深纺织Ａ	9.66	9.75	0.93	16,292,798.56	0.00
2017-12-29	000046	泛海控股	7.45	7.46	0.13	15,829,303.51	12.47
2017-12-29	000048	康达尔	19.98	20.06	0.40	3,057,086.92	1,311.11
2017-12-29	000049	德赛电池	38.27	39.59	3.45	164,686,969.19	31.83
2017-12-29	000050	深天马Ａ	19.24	19.71	2.44	394,956,238.65	48.52
2017-12-29	000055	方大集团	6.00	6.06	1.00	19,481,241.03	10.28
2017-12-29	000056	皇庭国际	13.27	13.27	0.00	0.00	134.18
2017-12-29	000058	深 赛 格	7.27	7.40	1.79	18,488,564.49	85.06
2017-12-29	000059	华锦股份	9.38	9.53	1.60	161,324,026.31	8.45
2017-12-29	000060	中金岭南	11.08	11.17	0.81	560,485,670.98	82.25
2017-12-29	000061	农 产 品	7.58	7.66	1.06	18,191,992.09	147.02
2017-12-29	000062	深圳华强	23.32	23.49	0.73	34,966,055.61	39.79
2017-12-29	000063	中兴通讯	36.22	36.36	0.39	2,016,965,851.14	0.00
2017-12-29	000065	北方国际	18.39	18.20	-1.03	68,281,867.65	20.25
2017-12-29	000066	中国长城	6.63	7.29	9.95	745,075,898.55	645.13
2017-12-29	000068	华控赛格	5.00	5.05	1.00	11,160,386.55	510.10
2017-12-29	000069	华侨城Ａ	8.39	8.49	1.19	338,152,637.52	10.11
2017-12-29	000070	特发信息	9.18	9.34	1.74	25,339,744.20	29.91
2017-12-29	000078	海王生物	5.83	5.90	1.20	58,114,498.56	37.34
2017-12-29	000088	盐 田 港	7.60	7.67	0.92	40,688,627.54	42.35
2017-12-29	000089	深圳机场	8.72	8.70	-0.23	49,488,497.76	31.72
2017-12-29	000090	天健集团	9.97	10.04	0.70	52,093,045.61	26.93
2017-12-29	000096	广聚能源	13.30	13.22	-0.60	6,252,443.00	23.83
2017-12-29	000099	中信海直	8.97	9.02	0.56	17,777,933.98	63.61
2017-12-29	000100	TCL 集团	3.83	3.90	1.83	388,626,196.50	28.70
2017-12-29	000150	宜华健康	30.28	30.58	0.99	73,297,839.16	18.40
2017-12-29	000151	中成股份	12.20	12.31	0.90	23,217,256.46	36.12
2017-12-29	000153	丰原药业	7.79	7.91	1.54	12,588,834.15	53.88
2017-12-29	000155	川化股份	6.01	6.03	0.33	216,665,826.99	3.26
2017-12-29	000156	华数传媒	11.40	11.40	0.00	0.00	27.14
2017-12-29	000157	中联重科	4.46	4.47	0.22	116,957,618.33	0.00
2017-12-29	000158	常山北明	7.82	7.94	1.53	26,607,582.71	37.51
2017-12-29	000159	国际实业	5.24	5.27	0.57	11,045,189.90	71.99
2017-12-29	000166	申万宏源	5.30	5.37	1.32	212,915,934.79	19.91
2017-12-29	000301	东方市场	5.25	5.31	1.14	55,296,747.68	43.88
2017-12-29	000333	美的集团	55.55	55.43	-0.22	1,715,093,926.68	24.41
2017-12-29	000338	潍柴动力	8.34	8.34	0.00	365,525,628.88	27.32
2017-12-29	000400	许继电气	13.28	13.19	-0.68	150,741,877.88	15.31
2017-12-29	000401	冀东水泥	13.79	13.79	0.00	0.00	351.79
2017-12-29	000402	金 融 街	10.98	11.11	1.18	163,271,211.61	11.84
2017-12-29	000403	ST生化	29.88	29.73	-0.50	19,772,157.37	150.38
2017-12-29	000404	华意压缩	6.28	6.29	0.16	18,172,949.75	17.35
2017-12-29	000407	胜利股份	7.63	7.69	0.79	30,955,077.84	0.00
2017-12-29	000408	藏格控股	17.76	17.70	-0.34	84,761,429.94	40.23
2017-12-29	000409	山东地矿	5.22	5.24	0.38	22,527,965.80	0.00
2017-12-29	000410	*ST沈机	9.39	9.76	3.94	105,237,138.12	0.00
2017-12-29	000411	英特集团	20.07	19.90	-0.85	13,122,590.20	47.54
2017-12-29	000413	东旭光电	9.31	9.38	0.75	298,363,372.04	43.35
2017-12-29	000415	渤海金控	5.75	5.76	0.17	47,665,235.43	15.65
2017-12-29	000416	民生控股	7.04	7.12	1.14	10,625,187.41	227.48
2017-12-29	000417	合肥百货	8.08	8.07	-0.12	30,142,629.86	22.20
2017-12-29	000418	小天鹅Ａ	67.48	67.85	0.55	224,395,364.57	36.52
2017-12-29	000419	通程控股	6.04	6.07	0.50	5,738,035.45	32.27
2017-12-29	000420	吉林化纤	3.13	3.13	0.00	13,893,843.12	189.70
2017-12-29	000421	南京公用	6.22	6.22	0.00	16,788,417.11	18.50
2017-12-29	000422	湖北宜化	4.10	4.08	-0.49	24,441,477.34	0.00
2017-12-29	000423	东阿阿胶	60.01	60.27	0.43	242,197,005.76	21.28
2017-12-29	000425	徐工机械	4.61	4.63	0.43	1,007,531,150.45	155.37
2017-12-29	000426	兴业矿业	10.05	9.83	-2.19	166,916,156.91	205.22
2017-12-29	000428	华天酒店	4.04	4.18	3.47	27,273,658.82	0.00
2017-12-29	000429	粤高速Ａ	8.10	8.11	0.12	16,414,955.35	16.93
2017-12-29	000430	张家界	8.50	8.55	0.59	6,534,586.28	56.59
2017-12-29	000488	晨鸣纸业	16.29	16.67	2.33	366,047,145.28	16.89
2017-12-29	000498	山东路桥	6.67	6.68	0.15	36,625,462.28	17.41
2017-12-29	000501	鄂武商Ａ	15.99	15.96	-0.19	55,308,059.67	12.38
2017-12-29	000502	绿景控股	10.96	11.03	0.64	8,751,797.00	63.46
2017-12-29	000503	海虹控股	41.40	43.16	4.25	794,841,455.31	1,383.33
2017-12-29	000504	南华生物	23.81	23.50	-1.30	52,011,571.25	336.68
2017-12-29	000505	珠江控股	8.33	8.38	0.60	11,731,607.45	25.46
2017-12-29	000506	中润资源	7.34	7.37	0.41	16,771,186.72	775.79
2017-12-29	000507	珠海港	10.12	10.18	0.59	170,831,820.21	77.12
2017-12-29	000509	华塑控股	6.12	6.12	0.00	0.00	0.00
2017-12-29	000510	金路集团	8.58	8.84	3.03	166,201,089.36	92.76
2017-12-29	000511	*ST烯碳	5.27	5.27	0.00	0.00	0.00
2017-12-29	000513	丽珠集团	67.40	66.45	-1.41	285,061,756.56	46.89
2017-12-29	000514	渝 开 发	6.06	6.12	0.99	13,914,553.98	42.09
2017-12-29	000516	国际医学	4.71	4.89	3.82	124,677,525.92	47.80
2017-12-29	000517	荣安地产	3.35	3.38	0.90	18,512,991.02	72.22
2017-12-29	000518	四环生物	6.82	6.84	0.29	10,921,335.32	1,590.70
2017-12-29	000519	中兵红箭	9.82	9.85	0.31	236,497,322.39	100.41
2017-12-29	000520	长航凤凰	3.99	4.02	0.75	13,807,473.56	418.75
2017-12-29	000521	美菱电器	5.05	5.07	0.40	12,616,572.85	24.05
2017-12-29	000523	广州浪奇	7.88	7.92	0.51	7,565,268.20	105.46
2017-12-29	000524	岭南控股	11.21	11.41	1.78	10,077,924.60	249.67
2017-12-29	000525	红 太 阳	19.94	20.17	1.15	62,870,276.68	92.65
2017-12-29	000526	*ST紫学	36.68	36.68	0.00	0.00	0.00
2017-12-29	000528	柳    工	8.50	8.53	0.35	143,724,129.21	194.75
2017-12-29	000529	广弘控股	6.75	6.78	0.44	7,619,330.08	37.48
2017-12-29	000530	大冷股份	5.35	5.28	-1.31	53,219,459.60	25.31
2017-12-29	000531	穗恒运Ａ	7.93	7.95	0.25	6,486,788.01	9.50
2017-12-29	000532	华金资本	10.40	10.49	0.87	8,724,836.45	88.52
2017-12-29	000533	万 家 乐	10.66	10.60	-0.56	25,084,458.82	32.31
2017-12-29	000534	万泽股份	13.72	13.80	0.58	6,897,897.14	89.09
2017-12-29	000536	华映科技	4.66	4.94	6.01	164,749,606.99	34.52
2017-12-29	000537	广宇发展	12.06	12.77	5.89	138,467,006.69	30.98
2017-12-29	000538	云南白药	101.66	101.79	0.13	295,121,147.06	36.30
2017-12-29	000539	粤电力Ａ	4.81	4.82	0.21	8,003,505.08	27.02
2017-12-29	000540	中天金融	7.35	7.35	0.00	0.00	11.75
2017-12-29	000541	佛山照明	9.11	9.20	0.99	72,852,419.83	10.91
2017-12-29	000543	皖能电力	5.00	5.02	0.40	22,182,716.77	10.11
2017-12-29	000544	中原环保	14.48	14.51	0.21	11,457,670.25	31.70
2017-12-29	000545	金浦钛业	5.05	5.07	0.40	83,978,699.38	41.42
2017-12-29	000546	金圆股份	16.70	17.85	6.89	129,566,685.31	41.75
2017-12-29	000547	航天发展	10.83	10.83	0.00	0.00	63.44
2017-12-29	000548	湖南投资	6.46	6.66	3.10	44,064,580.80	56.63
2017-12-29	000550	江铃汽车	15.91	16.12	1.32	24,996,721.53	10.56
2017-12-29	000551	创元科技	8.12	8.25	1.60	20,250,692.33	66.32
2017-12-29	000552	靖远煤电	3.52	3.52	0.00	31,599,444.75	36.33
2017-12-29	000553	沙隆达Ａ	15.78	15.85	0.44	56,635,926.95	49.04
2017-12-29	000554	泰山石油	8.11	8.13	0.25	51,734,582.63	903.33
2017-12-29	000555	神州信息	11.66	11.75	0.77	54,218,439.01	46.78
2017-12-29	000557	西部创业	4.78	4.78	0.00	0.00	838.60
2017-12-29	000558	莱茵体育	4.93	4.95	0.41	17,307,232.63	253.85
2017-12-29	000559	万向钱潮	9.24	10.15	9.85	415,628,549.91	33.52
2017-12-29	000560	昆百大Ａ	9.51	9.54	0.32	92,500,468.77	195.89
2017-12-29	000561	烽火电子	8.52	8.54	0.23	19,833,041.71	57.66
2017-12-29	000563	陕国投Ａ	4.16	4.25	2.16	50,964,164.61	25.49
2017-12-29	000564	供销大集	4.78	4.78	0.00	0.00	71.56
2017-12-29	000565	渝三峡Ａ	7.09	7.15	0.85	9,832,172.50	13.87
2017-12-29	000566	海南海药	12.89	12.89	0.00	0.00	104.63
2017-12-29	000567	海德股份	23.76	24.00	1.01	84,808,244.17	1,218.27
2017-12-29	000568	泸州老窖	66.35	66.00	-0.53	819,296,082.79	50.15
2017-12-29	000570	苏常柴Ａ	5.54	5.58	0.72	6,631,585.58	50.09
2017-12-29	000571	新大洲Ａ	5.15	5.40	4.85	82,232,331.74	133.66
2017-12-29	000572	海马汽车	4.64	4.58	-1.29	66,647,055.36	32.71
2017-12-29	000573	粤宏远Ａ	4.71	4.72	0.21	11,292,613.92	14.91
2017-12-29	000576	广东甘化	17.00	17.02	0.12	17,563,776.98	73.62
2017-12-29	000581	威孚高科	23.97	24.00	0.13	245,145,515.72	14.48
2017-12-29	000582	北部湾港	9.37	9.49	1.28	22,659,893.85	26.06
2017-12-29	000584	哈工智能	14.70	14.73	0.20	39,679,482.40	0.00
2017-12-29	000585	东北电气	5.26	5.26	0.00	0.00	0.00
2017-12-29	000586	汇源通信	18.19	17.93	-1.43	11,667,476.44	896.50
2017-12-29	000587	金洲慈航	6.89	7.00	1.60	240,022,727.85	14.33
2017-12-29	000589	黔轮胎Ａ	4.65	4.67	0.43	8,340,165.46	238.27
2017-12-29	000590	启迪古汉	15.15	15.63	3.17	51,526,031.51	67.84
2017-12-29	000591	太阳能	5.77	5.77	0.00	103,744,278.24	26.57
2017-12-29	000592	平潭发展	5.75	5.75	0.00	0.00	547.62
2017-12-29	000593	大通燃气	9.29	8.99	-3.23	77,468,107.00	0.00
2017-12-29	000595	*ST宝实	5.12	5.21	1.76	21,790,567.65	0.00
2017-12-29	000596	古井贡酒	66.71	65.67	-1.56	241,834,654.57	39.86
2017-12-29	000597	东北制药	11.63	11.76	1.12	57,289,857.51	234.73
2017-12-29	000598	兴蓉环境	5.38	5.43	0.93	49,989,288.61	18.55
2017-12-29	000599	青岛双星	6.31	6.31	0.00	16,134,019.65	44.66
2017-12-29	000600	建投能源	7.68	7.71	0.39	54,817,239.18	9.51
2017-12-29	000601	韶能股份	7.16	7.20	0.56	11,907,463.40	17.66
2017-12-29	000603	盛达矿业	12.15	12.02	-1.07	43,998,013.08	42.97
2017-12-29	000605	渤海股份	17.74	17.82	0.45	25,247,158.35	105.51
2017-12-29	000606	神州易桥	8.89	8.92	0.34	6,946,708.10	149.16
2017-12-29	000607	华媒控股	6.02	6.06	0.66	8,580,341.01	27.65
2017-12-29	000608	阳光股份	6.39	6.28	-1.72	21,961,733.40	0.00
2017-12-29	000609	绵石投资	10.76	10.78	0.19	13,538,540.39	24.14
2017-12-29	000610	西安旅游	11.70	11.72	0.17	19,696,389.69	258.72
2017-12-29	000611	天首发展	7.68	7.78	1.30	22,692,667.50	489.31
2017-12-29	000612	焦作万方	9.62	9.40	-2.29	109,123,039.63	112.98
2017-12-29	000613	*ST东海A	7.31	7.68	5.06	34,309,798.00	0.00
2017-12-29	000615	京汉股份	9.76	9.76	0.00	0.00	69.71
2017-12-29	000616	海航投资	3.33	3.35	0.60	15,328,022.84	0.00
2017-12-29	000617	中油资本	14.70	15.00	2.04	71,676,528.82	24.47
2017-12-29	000619	海螺型材	8.35	8.31	-0.48	46,560,700.64	39.38
2017-12-29	000620	新华联	5.58	5.70	2.15	12,487,627.72	20.64
2017-12-29	000622	恒立实业	4.63	4.69	1.30	6,339,644.73	41.54
2017-12-29	000623	吉林敖东	21.99	22.50	2.32	383,861,870.36	15.70
2017-12-29	000625	长安汽车	12.62	12.60	-0.16	136,844,795.04	5.88
2017-12-29	000626	远大控股	13.09	13.23	1.07	22,903,906.44	20.26
2017-12-29	000627	天茂集团	7.97	8.00	0.38	95,380,660.85	22.22
2017-12-29	000628	高新发展	8.21	8.36	1.83	11,617,757.59	88.65
2017-12-29	000629	*ST钒钛	3.07	3.07	0.00	0.00	0.00
2017-12-29	000630	铜陵有色	2.95	2.92	-1.02	317,636,523.34	170.76
2017-12-29	000631	顺发恒业	4.43	4.31	-2.71	91,776,803.27	28.62
2017-12-29	000632	三木集团	6.07	6.11	0.66	5,669,260.02	171.63
2017-12-29	000633	合金投资	9.91	10.03	1.21	37,412,944.12	146.21
