交易日期	证券代码	证券简称	前收	今收	升跌(%)	成交金额(元)	市盈率
2018-12-28	000001	平安银行	9.28	9.38	1.08	541,571,004.80	7.22
2018-12-28	000002	万  科Ａ	23.44	23.82	1.62	772,703,701.18	9.37
2018-12-28	000004	国农科技	16.03	16.03	0.00	2,685,455.00	157.16
2018-12-28	000005	世纪星源	2.66	2.68	0.75	9,921,105.46	184.83
2018-12-28	000006	深振业Ａ	5.16	5.18	0.39	26,086,344.49	8.68
2018-12-28	000007	全新好	8.17	8.06	-1.35	146,347,931.62	169.68
2018-12-28	000008	神州高铁	3.89	3.89	0.00	40,669,533.33	12.54
2018-12-28	000009	中国宝安	4.30	4.31	0.23	39,560,236.27	69.52
2018-12-28	000010	美丽生态	3.28	3.26	-0.61	16,011,347.33	0.00
2018-12-28	000011	深物业A	9.15	9.18	0.33	26,120,844.33	8.78
2018-12-28	000012	南  玻Ａ	3.98	3.99	0.25	12,859,955.77	13.81
2018-12-28	000014	沙河股份	9.15	9.29	1.53	26,918,318.96	245.77
2018-12-28	000016	深康佳Ａ	3.21	3.24	0.93	17,932,243.26	1.54
2018-12-28	000017	深中华A	4.35	4.36	0.23	31,254,299.36	1,557.14
2018-12-28	000018	神州长城	2.13	2.12	-0.47	22,141,776.92	9.47
2018-12-28	000019	深深宝Ａ	7.10	7.14	0.56	19,903,177.55	25.79
2018-12-28	000020	深华发Ａ	10.57	10.46	-1.04	12,938,401.26	3,076.47
2018-12-28	000021	深科技	5.87	5.75	-2.04	45,883,660.60	15.63
2018-12-28	000023	深天地Ａ	12.85	12.71	-1.09	37,170,827.67	57.83
2018-12-28	000025	特  力Ａ	26.89	26.52	-1.38	78,427,546.95	117.92
2018-12-28	000026	飞亚达Ａ	7.22	7.29	0.97	6,650,002.28	22.81
2018-12-28	000027	深圳能源	5.33	5.25	-1.50	24,327,052.11	27.78
2018-12-28	000028	国药一致	40.96	41.44	1.17	41,197,705.28	16.77
2018-12-28	000029	深深房Ａ	11.17	11.17	0.00	0.00	61.07
2018-12-28	000030	富奥股份	3.75	3.71	-1.07	7,875,839.08	8.08
2018-12-28	000031	中粮地产	4.87	4.88	0.21	19,454,340.09	9.36
2018-12-28	000032	深桑达Ａ	6.99	7.02	0.43	12,409,119.56	112.32
2018-12-28	000034	神州数码	13.41	13.45	0.30	47,217,103.62	12.17
2018-12-28	000035	中国天楹	5.24	5.20	-0.76	35,689,230.00	30.08
2018-12-28	000036	华联控股	5.53	5.51	-0.36	22,769,814.58	4.68
2018-12-28	000037	深南电A	4.74	4.76	0.42	2,641,767.50	180.30
2018-12-28	000038	深大通	13.08	12.76	-2.45	65,342,051.12	18.64
2018-12-28	000039	中集集团	10.44	10.58	1.34	41,543,151.55	12.58
2018-12-28	000040	东旭蓝天	7.35	7.23	-1.63	89,879,916.28	19.76
2018-12-28	000042	中洲控股	11.15	11.22	0.63	6,812,007.36	12.12
2018-12-28	000043	中航善达	7.46	7.48	0.27	12,813,473.94	33.13
2018-12-28	000045	深纺织Ａ	5.77	5.79	0.35	15,834,626.04	56.10
2018-12-28	000046	泛海控股	4.61	4.67	1.30	9,863,552.55	8.39
2018-12-28	000048	*ST康达	18.00	18.20	1.11	3,505,998.61	25.70
2018-12-28	000049	德赛电池	29.69	28.68	-3.40	70,382,141.54	19.59
2018-12-28	000050	深天马Ａ	9.84	9.81	-0.30	80,886,933.03	24.89
2018-12-28	000055	方大集团	3.95	4.00	1.27	15,215,923.32	4.14
2018-12-28	000056	皇庭国际	4.67	4.73	1.28	32,257,742.73	31.26
2018-12-28	000058	深 赛 格	5.41	5.95	9.98	245,349,066.04	33.48
2018-12-28	000059	华锦股份	5.94	5.94	0.00	27,721,515.58	5.15
2018-12-28	000060	中金岭南	3.94	3.96	0.51	47,467,922.30	13.25
2018-12-28	000061	农 产 品	4.81	4.85	0.83	17,756,246.03	591.46
2018-12-28	000062	深圳华强	17.37	16.66	-4.09	73,599,848.02	29.15
2018-12-28	000063	中兴通讯	19.90	19.59	-1.56	1,443,105,049.70	17.98
2018-12-28	000065	北方国际	7.90	7.68	-2.78	31,067,591.22	11.84
2018-12-28	000066	中国长城	4.77	4.74	-0.63	73,128,516.35	24.01
2018-12-28	000068	华控赛格	4.18	4.25	1.67	205,359,694.64	131.17
2018-12-28	000069	华侨城Ａ	6.16	6.35	3.08	264,016,302.93	6.03
2018-12-28	000070	特发信息	7.22	7.10	-1.66	41,933,198.94	16.76
2018-12-28	000078	海王生物	2.96	2.98	0.68	17,322,180.24	12.40
2018-12-28	000088	盐 田 港	4.98	5.00	0.40	20,933,076.08	24.02
2018-12-28	000089	深圳机场	7.74	7.79	0.65	50,334,921.72	24.16
2018-12-28	000090	天健集团	4.63	4.60	-0.65	21,223,146.39	10.99
2018-12-28	000096	广聚能源	9.41	9.25	-1.70	5,104,598.17	32.51
2018-12-28	000099	中信海直	5.68	5.64	-0.70	11,989,044.84	37.57
2018-12-28	000100	TCL 集团	2.42	2.45	1.24	112,551,365.10	12.43
2018-12-28	000150	宜华健康	14.56	14.73	1.17	216,712,944.57	52.97
2018-12-28	000151	中成股份	10.39	10.24	-1.44	32,187,411.92	34.69
2018-12-28	000153	丰原药业	5.18	5.15	-0.58	5,899,753.52	24.99
2018-12-28	000155	川能动力	3.41	3.60	5.57	27,332,128.69	14.07
2018-12-28	000156	华数传媒	8.05	7.93	-1.49	36,326,997.73	17.72
2018-12-28	000157	中联重科	3.58	3.56	-0.56	39,388,932.31	20.83
2018-12-28	000158	常山北明	5.11	5.22	2.15	56,209,406.95	24.30
2018-12-28	000159	国际实业	4.22	4.22	0.00	49,954,567.94	0.00
2018-12-28	000166	申万宏源	3.99	4.07	2.01	115,627,398.57	19.94
2018-12-28	000301	东方盛虹	5.46	5.46	0.00	14,505,298.00	96.30
2018-12-28	000333	美的集团	36.80	36.86	0.16	782,455,535.23	14.04
2018-12-28	000338	潍柴动力	7.63	7.70	0.92	236,912,853.58	9.04
2018-12-28	000400	许继电气	9.08	8.89	-2.09	124,777,943.95	14.60
2018-12-28	000401	冀东水泥	12.31	12.38	0.57	201,064,796.83	151.16
2018-12-28	000402	金 融 街	6.44	6.44	0.00	23,452,188.64	6.40
2018-12-28	000403	振兴生化	25.18	25.18	0.00	6,175,123.20	179.22
2018-12-28	000404	长虹华意	3.84	3.86	0.52	5,117,253.60	27.67
2018-12-28	000407	胜利股份	3.73	3.73	0.00	20,695,033.00	52.68
2018-12-28	000408	藏格控股	10.85	11.22	3.41	29,146,083.67	18.42
2018-12-28	000409	*ST地矿	5.59	5.66	1.25	9,106,473.00	0.00
2018-12-28	000410	沈阳机床	6.32	6.31	-0.16	21,318,053.00	41.03
2018-12-28	000411	英特集团	12.85	12.64	-1.63	23,377,090.70	31.40
2018-12-28	000413	东旭光电	4.54	4.50	-0.88	110,240,838.50	14.79
2018-12-28	000415	渤海租赁	3.62	3.60	-0.55	49,048,679.36	8.46
2018-12-28	000416	民生控股	4.07	4.09	0.49	20,730,239.74	79.88
2018-12-28	000417	合肥百货	4.32	4.33	0.23	5,181,139.30	15.84
2018-12-28	000418	小天鹅Ａ	42.72	43.25	1.24	113,451,267.66	18.16
2018-12-28	000419	通程控股	4.06	4.08	0.49	5,481,285.30	17.34
2018-12-28	000420	吉林化纤	1.87	1.90	1.60	15,950,551.14	43.78
2018-12-28	000421	南京公用	4.46	4.46	0.00	5,762,145.32	17.19
2018-12-28	000422	*ST宜化	2.82	2.89	2.48	14,109,549.84	0.00
2018-12-28	000423	东阿阿胶	39.84	39.55	-0.73	147,003,866.97	12.65
2018-12-28	000425	徐工机械	3.21	3.23	0.62	69,669,536.54	25.76
2018-12-28	000426	兴业矿业	4.71	4.98	5.73	141,278,028.33	16.47
2018-12-28	000428	华天酒店	2.46	2.48	0.81	2,470,635.00	23.20
2018-12-28	000429	粤高速Ａ	8.30	8.39	1.08	28,567,731.60	11.62
2018-12-28	000430	张家界	4.87	4.84	-0.62	5,662,977.99	29.09
2018-12-28	000488	晨鸣纸业	5.60	5.61	0.18	39,745,305.67	4.32
2018-12-28	000498	山东路桥	5.01	5.06	1.00	92,198,114.12	9.84
2018-12-28	000501	鄂武商Ａ	9.36	9.48	1.28	16,930,863.32	5.87
2018-12-28	000502	绿景控股	7.51	7.60	1.20	8,775,411.70	0.00
2018-12-28	000503	国新健康	15.74	15.88	0.89	198,646,185.75	853.76
2018-12-28	000504	南华生物	12.45	12.47	0.16	4,859,616.00	0.00
2018-12-28	000505	京粮控股	5.38	5.52	2.60	21,627,690.49	29.21
2018-12-28	000506	中润资源	2.65	2.69	1.51	71,942,455.00	0.00
2018-12-28	000507	珠海港	6.64	6.60	-0.60	59,723,497.63	37.06
2018-12-28	000509	华塑控股	2.67	2.70	1.12	22,732,490.05	178.81
2018-12-28	000510	金路集团	3.90	3.93	0.77	9,294,292.18	35.47
2018-12-28	000513	丽珠集团	25.33	25.15	-0.71	125,027,396.92	4.08
2018-12-28	000514	渝 开 发	3.66	3.65	-0.27	3,358,136.00	38.10
2018-12-28	000516	国际医学	4.95	4.95	0.00	23,768,690.65	49.16
2018-12-28	000517	荣安地产	2.27	2.31	1.76	15,852,987.50	14.29
