交易日期	证券代码	证券简称	前收	今收	升跌(%)	成交金额(元)	市盈率
2019-11-29	000404	长虹华意	3.79	3.78	-0.26	4,616,994.50	36.45
2019-11-29	000407	胜利股份	3.35	3.39	1.19	14,578,005.18	29.10
2019-11-29	000408	藏格控股	8.67	8.67	0.00	14,364,738.00	20.33
2019-11-29	000409	ST地矿	4.67	4.62	-1.07	6,696,180.57	76.24
2019-11-29	000410	*ST沈机	6.80	6.61	-2.79	38,126,890.88	0.00
2019-11-29	000411	英特集团	11.68	11.51	-1.46	14,725,718.20	30.53
2019-11-29	000413	东旭光电	4.80	4.80	0.00	0.00	12.71
2019-11-29	000415	渤海租赁	3.42	3.42	0.00	29,664,506.72	9.28
2019-11-29	000416	民生控股	4.83	5.01	3.73	46,008,946.11	133.24
2019-11-29	000417	合肥百货	4.31	4.34	0.70	3,326,648.37	15.07
2019-11-29	000419	通程控股	4.26	4.29	0.70	12,389,031.32	16.49
2019-11-29	000420	吉林化纤	2.13	2.16	1.41	20,009,774.28	32.14
2019-11-29	000421	南京公用	4.31	4.27	-0.93	10,270,850.18	17.07
2019-11-29	000422	ST宜化	2.77	2.76	-0.36	3,711,555.76	12.00
2019-11-29	000423	东阿阿胶	33.90	33.67	-0.68	89,162,617.24	10.56
2019-11-29	000425	徐工机械	4.58	4.58	0.00	172,993,297.77	17.54
2019-11-29	000426	兴业矿业	4.14	4.15	0.24	24,478,697.02	0.00
2019-11-29	000428	华天酒店	2.47	2.47	0.00	2,770,607.95	0.00
2019-11-29	000429	粤高速Ａ	8.04	8.02	-0.25	16,520,979.30	10.00
2019-11-29	000430	张家界	4.93	4.95	0.41	3,050,072.00	75.92
2019-11-29	000488	晨鸣纸业	4.73	4.73	0.00	31,399,840.32	9.27
2019-11-29	000498	山东路桥	4.56	4.58	0.44	51,358,734.23	7.73
2019-11-29	000501	鄂武商Ａ	10.78	10.84	0.56	42,446,472.74	7.94
2019-11-29	000502	绿景控股	7.00	7.03	0.43	5,033,299.80	16.78
2019-11-29	000503	国新健康	16.31	16.85	3.31	260,997,528.39	0.00
2019-11-29	000504	*ST生物	8.47	8.34	-1.53	2,521,509.36	0.00
