交易日期	证券代码	证券简称	前收	今收	升跌(%)	成交金额(元)	市盈率
2019-02-25	000001	平安银行	11.54	12.55	8.75	3,415,946,860.20	9.65
2019-02-25	000002	万  科Ａ	26.97	28.39	5.27	3,693,496,637.31	11.17
2019-02-25	000004	国农科技	16.78	17.45	3.99	18,725,776.31	171.08
2019-02-25	000005	世纪星源	3.17	3.37	6.31	125,793,850.08	232.41
2019-02-25	000006	深振业Ａ	5.72	5.97	4.37	222,076,437.78	10.00
2019-02-25	000007	全新好	6.54	7.14	9.17	262,811,313.31	150.32
2019-02-25	000008	神州高铁	4.02	4.42	9.95	430,503,562.52	14.25
2019-02-25	000009	中国宝安	4.95	5.26	6.26	342,951,660.86	84.84
2019-02-25	000010	美丽生态	3.40	3.52	3.53	41,502,224.82	0.00
2019-02-25	000011	深物业A	10.16	10.49	3.25	121,890,527.16	10.04
2019-02-25	000012	南  玻Ａ	4.73	4.97	5.07	260,417,111.22	17.20
2019-02-25	000014	沙河股份	10.76	11.13	3.44	191,951,006.44	294.44
2019-02-25	000016	深康佳Ａ	3.79	3.94	3.96	135,439,365.95	1.88
2019-02-25	000017	深中华A	4.71	4.91	4.25	87,768,968.77	1,753.57
2019-02-25	000018	神州长城	2.44	2.60	6.56	186,386,039.91	11.62
2019-02-25	000019	深深宝Ａ	7.63	7.95	4.19	122,763,453.64	28.72
2019-02-25	000020	深华发Ａ	11.91	12.38	3.95	55,256,187.98	3,641.18
2019-02-25	000021	深科技	7.34	7.72	5.18	254,650,041.21	20.98
2019-02-25	000023	深天地Ａ	16.00	17.60	10.00	317,995,736.63	80.07
2019-02-25	000025	特  力Ａ	28.00	28.96	3.43	279,164,669.67	128.77
2019-02-25	000026	飞亚达Ａ	8.23	8.54	3.77	37,234,502.54	26.72
2019-02-25	000027	深圳能源	5.64	5.94	5.32	165,263,008.05	31.43
2019-02-25	000028	国药一致	42.40	44.37	4.65	120,509,838.72	17.96
2019-02-25	000029	深深房Ａ	11.17	11.17	0.00	0.00	61.07
2019-02-25	000030	富奥股份	4.59	4.75	3.49	97,141,918.95	10.34
2019-02-25	000031	中粮地产	5.40	5.68	5.19	202,651,743.00	10.90
2019-02-25	000032	深桑达Ａ	8.94	9.26	3.58	132,095,586.14	148.16
2019-02-25	000034	神州数码	12.40	13.56	9.35	312,534,154.03	12.27
2019-02-25	000035	中国天楹	5.30	5.45	2.83	84,530,403.10	59.82
2019-02-25	000036	华联控股	6.16	6.39	3.73	125,526,964.65	5.43
2019-02-25	000037	深南电A	6.42	6.87	7.01	166,379,184.80	260.23
2019-02-25	000038	深大通	13.46	14.25	5.87	169,394,398.70	20.81
2019-02-25	000039	中集集团	12.89	13.36	3.65	434,874,294.44	15.89
2019-02-25	000040	东旭蓝天	7.73	8.06	4.27	633,569,149.41	22.03
2019-02-25	000042	中洲控股	12.06	12.58	4.31	77,803,406.42	13.59
2019-02-25	000043	中航善达	7.87	8.23	4.57	80,103,423.95	36.45
2019-02-25	000045	深纺织Ａ	6.59	6.92	5.01	129,103,562.55	67.05
2019-02-25	000046	泛海控股	5.44	5.98	9.93	201,850,696.44	10.75
2019-02-25	000048	*ST康达	19.43	19.65	1.13	20,171,119.16	27.74
2019-02-25	000049	德赛电池	32.86	34.46	4.87	236,618,435.86	23.53
2019-02-25	000050	深天马Ａ	16.99	18.69	10.01	4,752,590,573.76	47.42
2019-02-25	000055	方大集团	6.26	6.61	5.59	501,191,301.90	3.31
2019-02-25	000056	皇庭国际	5.33	5.68	6.57	174,289,718.00	37.54
2019-02-25	000058	深 赛 格	7.08	7.79	10.03	374,235,154.95	43.84
2019-02-25	000059	华锦股份	6.26	6.80	8.63	349,492,998.23	5.89
2019-02-25	000060	中金岭南	4.41	4.85	9.98	646,968,722.73	16.23
2019-02-25	000061	农 产 品	5.37	5.78	7.64	112,538,630.77	704.88
2019-02-25	000062	深圳华强	19.53	20.75	6.25	218,378,316.54	36.30
2019-02-25	000063	中兴通讯	27.84	30.31	8.87	9,535,512,450.98	27.82
2019-02-25	000065	北方国际	8.37	8.72	4.18	87,501,142.86	13.44
2019-02-25	000066	中国长城	7.02	7.27	3.56	993,576,567.51	36.83
2019-02-25	000068	华控赛格	5.54	6.09	9.93	54,613,968.99	187.96
2019-02-25	000069	华侨城Ａ	6.55	6.95	6.11	647,120,819.99	6.60
2019-02-25	000070	特发信息	13.11	14.42	9.99	31,929,686.88	34.04
2019-02-25	000078	海王生物	3.48	3.68	5.75	243,173,610.22	15.31
2019-02-25	000088	盐 田 港	6.31	6.60	4.60	281,717,741.50	31.70
2019-02-25	000089	深圳机场	9.29	10.04	8.07	409,512,451.26	31.13
2019-02-25	000090	天健集团	5.71	5.95	4.20	187,401,749.23	14.21
2019-02-25	000096	广聚能源	9.93	10.30	3.73	39,190,868.79	36.20
2019-02-25	000099	中信海直	7.02	7.25	3.28	110,555,633.37	48.30
2019-02-25	000100	TCL 集团	3.19	3.45	8.15	1,892,839,888.38	17.50
2019-02-25	000150	宜华健康	11.49	11.78	2.52	576,032,755.10	42.36
2019-02-25	000151	中成股份	11.42	12.11	6.04	216,310,485.37	41.02
2019-02-25	000153	丰原药业	5.94	6.15	3.54	43,228,289.00	29.84
2019-02-25	000155	川能动力	3.93	4.06	3.31	93,375,499.47	15.87
2019-02-25	000156	华数传媒	9.32	9.90	6.22	145,767,279.36	22.13
2019-02-25	000157	中联重科	4.10	4.25	3.66	275,995,821.61	24.87
2019-02-25	000158	常山北明	5.36	5.90	10.07	163,999,855.27	27.47
2019-02-25	000159	国际实业	4.58	4.79	4.59	77,621,683.02	0.00
2019-02-25	000166	申万宏源	5.39	5.93	10.02	2,307,175,656.20	29.05
2019-02-25	000301	东方盛虹	5.03	5.42	7.75	147,886,674.05	95.59
2019-02-25	000333	美的集团	45.61	49.17	7.81	3,466,143,742.33	18.73
2019-02-25	000338	潍柴动力	9.50	9.92	4.42	1,366,229,719.61	11.65
2019-02-25	000400	许继电气	10.80	11.28	4.44	423,680,561.77	18.53
2019-02-25	000401	冀东水泥	13.74	14.65	6.62	1,286,663,990.57	178.88
2019-02-25	000402	金 融 街	7.38	7.77	5.28	197,054,945.16	7.73
2019-02-25	000403	振兴生化	26.18	27.15	3.71	42,865,617.98	193.24
2019-02-25	000404	长虹华意	4.30	4.46	3.72	71,075,136.68	31.97
2019-02-25	000407	胜利股份	4.11	4.27	3.89	106,138,686.62	60.31
